Date,Year,Month,Temperature_C,Rainfall_mm,Humidity_Percent,CO2_ppm,Season,Temp_5yr_Avg,Temp_10yr_Avg,Rainfall_5yr_Avg,Temp_Change_1yr,Temperature_C_normalized,Rainfall_mm_normalized
1900-01-31,1900,1,8.616383680443576,63.11149698537729,48.56267887008277,281.3189018701262,Winter,,,,,-1.7656884694936847,-0.4132160243877876
1900-02-28,1900,2,8.900358406189223,60.99382651873218,67.05852883683241,277.8602657676826,Winter,,,,,-1.6900501446860388,-0.4681225655591598
1900-03-31,1900,3,11.261476445204611,46.169569120056416,52.370895059510076,286.0364623197939,Spring,,,,,-1.0611525810901854,-0.8524829804658733
1900-04-30,1900,4,13.998941303765344,78.14960365157819,65.29716917230911,278.12124927776034,Spring,,,,,-0.3320128466379291,-0.023310967953141606
1900-05-31,1900,5,15.87702279278751,65.52307007145015,78.00230448907146,281.8690025711975,Spring,,,,,0.1682251140076358,-0.35068923420782033
1900-06-30,1900,6,18.049740088806356,81.04098722501583,80.1397701956567,280.20759390959716,Summer,,,,,0.7469410406449305,0.051656253679168984
1900-07-31,1900,7,19.285643291423188,81.06445471819563,74.36056111972165,279.8552907852088,Summer,,,,,1.0761310684718164,0.0522647142025418
1900-08-31,1900,8,18.725124943938052,117.67400720207183,77.82516577276061,278.7962682239763,Summer,,,,,0.9268337367589234,1.001469952874985
1900-09-30,1900,9,16.521908301288118,124.24463181359522,59.42120200705349,278.1319701566373,Fall,,,,,0.3399941312243399,1.1718318087145223
1900-10-31,1900,10,14.640504604231879,125.84852570089053,55.80077084033824,283.6287675825843,Fall,,,,,-0.16112871891165384,1.2134172523160505
1900-11-30,1900,11,11.536182341837272,86.45385463581022,47.76144511649335,282.04857630261876,Fall,,,,,-0.9879830629877622,0.19200000972011635
1900-12-31,1900,12,9.707508487078739,98.20368008031984,51.63990206711446,280.33914176794354,Winter,,,,,-1.4750610120210352,0.49664716076976045
1901-01-31,1901,1,9.515819140135235,50.74068027001939,54.013475847837945,281.64705306232065,Winter,,,,0.8994354596916594,-1.5261185878253865,-0.7339641143308708
1901-02-28,1901,2,9.678806785639173,83.82386347968378,57.26664245399898,278.7518051495885,Winter,,,,0.7784483794499497,-1.4827058776347533,0.12381011900356391
1901-03-31,1901,3,11.236258081995668,12.973132991999691,61.20878812334989,281.2484474838453,Spring,,,,-0.025218363208942662,-1.0678696392456486,-1.7131936130769803
1901-04-30,1901,4,13.92665358832791,34.48980008444617,70.44227891119833,279.15971582918496,Spring,,,,-0.07228771543743306,-0.35126710134493644,-1.155313722796532
1901-05-31,1901,5,16.674175797609585,73.69778333502964,87.53267465943651,280.71739757033043,Spring,,,,0.797153004822075,0.38055146714276983,-0.1387368849445444
1901-06-30,1901,6,22.675883933243963,80.75475456086794,86.38604018298851,280.46250112421495,Summer,,,,4.626143844437607,1.9791414408519463,0.04423486975463162
1901-07-31,1901,7,18.54823175198365,108.25549861031136,79.07470371904124,280.37106838516877,Summer,,,,-0.7374115394395382,0.8797172031513073,0.7572687242552716
1901-08-31,1901,8,17.827676362046656,142.3083351048971,82.81141900630956,277.5339220584439,Summer,,,,-0.8974485818913962,0.6877930715834479,1.6401839362495427
1901-09-30,1901,9,17.41199922433481,135.17568698732674,57.42842092799087,278.93968663312387,Fall,,,,0.8900909230466922,0.5770750410446223,1.4552500460637294
1901-10-31,1901,10,13.284058746863455,124.62141187122262,60.66141078106845,281.1611348339676,Fall,,,,-1.3564458573684242,-0.5224259860336432,1.1816008875549355
1901-11-30,1901,11,11.372069099748321,114.32212875331119,59.70470459336559,281.4748365651324,Fall,,,,-0.16411324208895017,-1.0316955823951346,0.9145631111604318
1901-12-31,1901,12,10.144621998792474,80.90456484985656,50.425277499319584,278.67927968892377,Winter,,,,0.4371135117137346,-1.358633278214795,0.04811912130831171
1902-01-31,1902,1,7.961102196875603,64.15884671834795,60.020730196011876,275.13485086748096,Winter,,,,-1.5547169432596322,-1.9402265153159202,-0.38606054758441016
1902-02-28,1902,2,8.256302618663735,5.9733193313496145,55.9133186762382,283.0610682746072,Winter,,,,-1.422504166975438,-1.8615981608807295,-1.894683397726664
1902-03-31,1902,3,11.425398187785499,14.165582870336927,65.10355403956505,279.39406226596344,Spring,,,,0.18914010578983032,-1.017491068693924,-1.6822760083925052
1902-04-30,1902,4,13.435277069806336,44.398563682392805,70.34868699749518,280.65291818740764,Spring,,,,-0.4913765185215748,-0.48214810356509574,-0.8984012593054757
1902-05-31,1902,5,16.647522833220584,87.31225687162888,74.57644084819509,275.55673791458355,Spring,,,,-0.026652964389001,0.37345229459405654,0.21425649317442977
1902-06-30,1902,6,18.012103764945184,102.26338018286837,85.18076678788844,279.5530650879027,Summer,,,,-4.6637801682987785,0.736916386227879,0.6019062623792462
1902-07-31,1902,7,18.778858765059937,93.94453044331502,88.20688180344024,282.99497388885254,Summer,,,,0.23062701307628686,0.9411460534783115,0.38621677106435853
1902-08-31,1902,8,17.512780740784294,136.59949872071687,67.32743527648637,281.52674506812207,Summer,,,,-0.31489562126236237,0.6039187858736637,1.4921663551831164
1902-09-30,1902,9,14.16725669258983,94.80272219134072,72.21384960428442,279.832147496534,Fall,,,,-3.244742531744981,-0.28718106093375084,0.408467797032792
1902-10-31,1902,10,13.857923591811247,105.94374765372409,57.67128051991206,281.33783255711046,Fall,,,,0.5738648449477921,-0.36957373686295847,0.6973301025126236
1902-11-30,1902,11,11.72088074377966,104.46620226442874,51.87402232194695,279.8736440493291,Fall,,,,0.348811644031338,-0.9387875661670891,0.6590205977866876
