Date,Year,Month,Temperature_C,Rainfall_mm,Humidity_Percent,CO2_ppm
1900-01-31,1900,1,8.616383680443576,63.11149698537729,48.56267887008277,281.3189018701262
1900-02-28,1900,2,8.900358406189223,60.99382651873218,67.05852883683241,277.8602657676826
1900-03-31,1900,3,11.261476445204611,46.169569120056416,52.370895059510076,286.0364623197939
1900-04-30,1900,4,13.998941303765344,78.14960365157819,65.29716917230911,278.12124927776034
1900-05-31,1900,5,15.87702279278751,65.52307007145015,78.00230448907146,281.8690025711975
1900-06-30,1900,6,18.049740088806356,81.04098722501583,80.1397701956567,280.20759390959716
1900-07-31,1900,7,19.285643291423188,81.06445471819563,74.36056111972165,279.8552907852088
1900-08-31,1900,8,18.725124943938052,117.67400720207183,77.82516577276061,278.7962682239763
1900-09-30,1900,9,16.521908301288118,124.24463181359522,59.42120200705349,278.1319701566373
1900-10-31,1900,10,14.640504604231879,125.84852570089053,55.80077084033824,283.6287675825843
1900-11-30,1900,11,11.536182341837272,86.45385463581022,47.76144511649335,282.04857630261876
1900-12-31,1900,12,9.707508487078739,98.20368008031984,51.63990206711446,280.33914176794354
1901-01-31,1901,1,9.515819140135235,50.74068027001939,54.013475847837945,281.64705306232065
1901-02-28,1901,2,9.678806785639173,83.82386347968378,57.26664245399898,278.7518051495885
1901-03-31,1901,3,11.236258081995668,12.973132991999691,61.20878812334989,281.2484474838453
1901-04-30,1901,4,13.92665358832791,34.48980008444617,70.44227891119833,279.15971582918496
1901-05-31,1901,5,16.674175797609585,73.69778333502964,87.53267465943651,280.71739757033043
1901-06-30,1901,6,22.675883933243963,80.75475456086794,86.38604018298851,280.46250112421495
1901-07-31,1901,7,18.54823175198365,108.25549861031136,79.07470371904124,280.37106838516877
1901-08-31,1901,8,17.827676362046656,142.3083351048971,82.81141900630956,277.5339220584439
1901-09-30,1901,9,17.41199922433481,135.17568698732674,57.42842092799087,278.93968663312387
1901-10-31,1901,10,13.284058746863455,124.62141187122262,60.66141078106845,281.1611348339676
1901-11-30,1901,11,11.372069099748321,114.32212875331119,59.70470459336559,281.4748365651324
